,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,id,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
403,188,64,7.99386857,3.222830976,1.518280534,14.02538505,403,519.9893258,373.1916985,26.03231119,0.889106542,0.09941955
404,174,57,6.995032853,2.7123769,0.340640138,10.9789384,404,1246.284034,566.6936772,22.09361128,0.867730962,-1.081085246
405,102,32,5.273337067,0.685025492,4.081685467,6.784921241,405,1989.416956,437.8629967,11.5147481,0.662308598,0.235587937
406,145,45,6.798745968,1.924825835,3.584672446,11.35609914,406,2355.525262,1089.4984,17.87491691,0.847189742,1.250889963
407,182,58,8.186930916,3.503780936,1.882155392,14.44577585,407,1830.060456,836.5946913,28.18967334,0.949076411,0.286667442
408,196,58,8.135964525,2.970557931,3.690501031,12.72653234,408,1208.862704,622.1506535,25.7832132,0.940628565,-0.014382134
409,170,52,7.105629578,1.881189637,3.63873393,10.26054804,409,2146.880957,225.9502308,19.46344653,0.7333685,0.78370837
410,106,36,5.674279672,1.712135575,2.730288503,8.606136556,410,947.6858245,721.2543991,13.74765618,0.837242047,-0.730063186
411,144,40,6.417517427,1.489704696,3.898236781,8.98589172,411,1264.845222,533.3571267,16.88942741,0.836281065,-1.312615288
412,83,27,4.698728895,0.427291206,3.863231055,5.367815484,412,1013.934658,340.1840507,9.688123467,0.472080218,0.460065889
413,214,77,8.280985361,3.25807102,1.113025655,13.36373733,413,1591.378722,560.5402919,28.39782,0.87554706,-0.398813748
414,165,50,7.350985732,2.412345075,3.286883022,12.47892624,414,2251.498297,58.40525093,21.23241895,0.85289072,-0.30655225
415,115,39,5.858599311,1.618522445,3.076923077,8.607138911,415,810.9737902,634.8884759,15.61895886,0.813756729,1.248661915
416,125,36,5.932777472,1.039196442,4.01386486,7.601169501,416,647.6775442,1099.030093,15.5564041,0.757247136,-0.619920144
417,208,62,8.112950319,2.936992819,3.011683804,12.97289658,417,689.9030622,513.7367645,25.32155258,0.918617095,1.485679419
418,201,55,8.196067967,2.68463774,2.441852704,12.68423893,418,723.9655005,100.085601,25.70845169,0.888399252,0.792799538
419,156,50,6.376117076,2.02660579,0.760263112,9.324054912,419,1475.822165,483.7869136,17.53378337,0.698531618,-0.616649276
420,141,42,6.355436661,1.758404089,2.822909999,10.0459545,420,231.8148614,710.6213583,18.49023341,0.834844485,-0.281206019
421,223,60,8.68713499,3.232485645,2.536675427,14.61054604,421,481.7836492,580.2896591,28.33172543,0.933027692,-0.612120223
422,96,40,5.074939184,1.178449098,2.325134405,7.05735432,422,1992.694728,541.1721942,11.45543125,0.519233108,-0.904153573
423,99,31,5.177238342,0.590905082,4.076914015,6.31245074,423,984.1778466,505.7585442,12.48619421,0.633991255,-0.8634651
424,97,30,5.121027741,0.651977666,3.905124838,6.484597135,424,1484.226539,341.9385464,11.25817877,0.547783906,-0.290852628
425,160,45,6.655749006,1.605013052,2.514942996,8.910196683,425,377.5031762,520.0391417,18.13154773,0.826343811,1.075987612
426,185,53,7.56404737,2.466838906,1.822782135,11.78429907,426,536.110174,474.0374376,23.5297249,0.897298702,-0.296017895
427,130,38,5.98400386,1.145511421,3.092525167,7.690426469,427,1197.395789,737.6854396,13.52229561,0.634223206,-0.272889126
428,88,34,4.871249738,0.877038132,2.875141038,6.322366514,428,1414.073719,590.5794823,9.951625713,0.5275894,-1.552735267
429,181,52,7.528181644,2.969383029,1.751267504,11.86095791,429,1355.208228,550.9302842,26.0843098,0.947816836,-0.016011852
430,77,26,4.502490466,0.271539046,4.0430377,4.918567646,430,725.2489199,135.9612148,8.622328382,0.258576253,-1.144773267
431,205,60,8.002951202,2.335533452,3.180365108,12.80942578,431,1008.350041,612.9747534,18.95307247,0.581870229,0.855365293
432,75,26,4.419535212,0.298345908,3.751133951,4.819216956,432,419.2149085,563.7917735,8.867916323,0.205385644,1.494989937
433,150,46,6.727953488,1.948837831,3.152248875,10.38925758,433,2137.356904,582.0640828,19.56874867,0.827382105,1.11777278
434,125,43,6.226963473,2.294311635,2.013475425,9.397334582,434,1226.267336,421.8849205,19.15303775,0.913034194,-0.803535504
435,82,27,4.661642431,0.494366751,3.562493232,5.418304596,435,276.1783682,330.7411249,10.94400396,0.561940063,-0.185042661
436,153,47,6.907535098,2.636039112,2.147987994,10.68589353,436,1713.497937,472.9036464,21.61397181,0.925941428,-0.249365349
437,102,37,5.353923594,1.219006544,3.757631631,7.948197879,437,2065.686871,709.8852936,14.63955274,0.786363313,0.710671333
438,76,26,4.467249084,0.313718587,3.900576501,4.982959127,438,907.3078757,452.9206676,9.193059202,0.365828348,-0.025816229
439,144,46,6.57188033,2.010344581,1.783801298,10.31711281,439,1237.059558,439.0793225,17.43691968,0.760975604,0.003584205
440,136,40,6.330517386,1.491282878,3.539155973,8.7678746,440,621.019648,549.9030784,16.8326101,0.847723239,-0.994084652
441,101,34,5.365161996,1.207883023,3.20709637,7.914443019,441,1651.216446,1130.433902,14.41109791,0.780756534,-0.629629092
442,148,51,6.807441048,2.127645183,2.19502776,10.55399329,442,886.4033003,709.6519293,19.19641403,0.82280392,-1.341119352
443,81,28,4.604121358,0.528306099,3.254902111,5.307147664,443,1839.287389,649.482848,10.01062107,0.265660856,-0.369360675
444,147,45,6.657781119,2.303164748,2.48829358,10.27361477,444,2097.792553,956.9796118,19.95389241,0.93104578,-1.467800586
445,73,25,4.381291914,0.316672011,3.8501948,5.006395909,445,1212.390689,663.1026853,9.523487829,0.453702169,0.336448069
446,97,30,5.152114798,0.862903235,3.441575866,7.310570733,446,1867.410035,81.74723098,11.03062934,0.719747052,1.205538226
447,99,41,5.407659177,1.406386927,2.645526456,8.297738774,447,565.4628425,94.54530384,11.74548711,0.545575607,-0.532105977
